Region;SubRegion;Country;CountryCode;Year;DrugGroup;Drug;SpecificDrugName;KgEquivalent;Comment
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2013;Opioids;Heroin;;7157;
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2013;Opioids;Illicit morphine;;23980;
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2013;Opioids;Opium;Raw and prepared;115690;
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2013;Cannabis-type;Hashish (resin);;31926;
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2013;Non-specified;Non-specified;Poppy/cannabis seeds;13697;
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2012;Opioids;Heroin;;7262;
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2012;Opioids;Illicit morphine;;43519;
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2012;Opioids;Opium;Raw and prepared;123940;
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2012;Cannabis-type;Hashish (resin);;160530;
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2012;Non-specified;Non-specified;Poppy/cannabis seeds;103780;
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2012;ATS;Amphetamine;;0;
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2012;Precursors;Non-specified precursors;;118185;
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2012;Precursors;Non-specified precursors;;40853;
Asia;Near and Middle East/ South-West Asia;Afghanistan;AFG;2013;ATS;Amphetamine;;11;
Europe;South-Eastern Europe (including Turkey);Albania;ALB;2012;Cannabis-type;Marijuana (herb);;21138;
Europe;South-Eastern Europe (including Turkey);Albania;ALB;2012;Cannabis-type;Hashish (resin);;5;
Europe;South-Eastern Europe (including Turkey);Albania;ALB;2012;Cannabis-type;Cannabis plants;;3300;
Europe;South-Eastern Europe (including Turkey);Albania;ALB;2012;Cannabis-type;Cannabis oil;;1;
Europe;South-Eastern Europe (including Turkey);Albania;ALB;2012;Cannabis-type;Cannabis seed;;0;
Europe;South-Eastern Europe (including Turkey);Albania;ALB;2012;Opioids;Heroin;;88;
Europe;South-Eastern Europe (including Turkey);Albania;ALB;2012;Opioids;Pharmaceutical opioids;Methadone;1;
Europe;South-Eastern Europe (including Turkey);Albania;ALB;2012;Cocaine-type;Cocaine salts;;4;
Europe;South-Eastern Europe (including Turkey);Albania;ALB;2012;Other miscellaneous;Other miscellaneous;;175;
Africa;Northern Africa;Algeria;DZA;2012;Cannabis-type;Hashish (resin);;157383;
Africa;Northern Africa;Algeria;DZA;2012;Cannabis-type;Cannabis plants;;9;
Africa;Northern Africa;Algeria;DZA;2012;Cannabis-type;Cannabis seed;;0;
Africa;Northern Africa;Algeria;DZA;2012;Opioids;Heroin;;6;
Africa;Northern Africa;Algeria;DZA;2012;Opioids;Opium;Raw and prepared;0;
Africa;Northern Africa;Algeria;DZA;2012;Opioids;Poppy plants;;20;
Africa;Northern Africa;Algeria;DZA;2012;Cocaine-type;Cocaine salts;;183;
Africa;Northern Africa;Algeria;DZA;2012;ATS;Methamphetamine;;8;
Africa;Northern Africa;Algeria;DZA;2012;Sedatives and Tranquillizers;Sedatives and tranquillizers;;9;
Africa;Northern Africa;Algeria;DZA;2012;Opioids;Pharmaceutical opioids;Methadone;0;
Africa;Northern Africa;Algeria;DZA;2012;Opioids;Illicit morphine;;0;
Africa;Northern Africa;Algeria;DZA;2012;Non-specified;Psychotropic substances;;0;
Europe;Western and Central Europe;Andorra;AND;2012;Cannabis-type;Marijuana (herb);;5;
Europe;Western and Central Europe;Andorra;AND;2012;Cannabis-type;Marijuana (herb);;0;
Europe;Western and Central Europe;Andorra;AND;2012;Cannabis-type;Hashish (resin);;10;
Europe;Western and Central Europe;Andorra;AND;2012;Cannabis-type;Hashish (resin);;0;
Europe;Western and Central Europe;Andorra;AND;2012;Opioids;Heroin;;0;
Europe;Western and Central Europe;Andorra;AND;2012;Opioids;Opium;Raw and prepared;0;
Europe;Western and Central Europe;Andorra;AND;2012;Cocaine-type;Cocaine salts;;0;
Europe;Western and Central Europe;Andorra;AND;2012;ATS;Amphetamine;;0;
Europe;Western and Central Europe;Andorra;AND;2012;ATS;Methamphetamine;;0;
Europe;Western and Central Europe;Andorra;AND;2012;ATS;Methamphetamine;;0;
Europe;Western and Central Europe;Andorra;AND;2012;ATS;Ecstasy-type substances;;0;
Europe;Western and Central Europe;Andorra;AND;2012;ATS;Non-specified ATS;Speed;0;
